Airline,ArrivalStatus,Los Angeles,Phoenix,San Diego,San Francisco,Seattle
ALASKA,on time,497,221,212,503,"1,841"
NA,delayed,62,12,20,102,305
NA,NA,NA,NA,NA,NA,NA
AMWEST,on time,694,"4,840",383,320,201
NA,delayed,117,415,65,129,61
